ObjectID,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Minutes,Total_TimeAt1KPH,Total_TravelTime,Total_TruckMinutes,Total_TruckTravelTime,Total_WalkTime,Total_Kilometers,Total_Miles,Shape_Length
4815,1,1,F070802060406_287 - Go To Location 1,2,1,4815,,,,,,,,,28.17954334,,35.24181242,,0.393874224
4816,1,1,F070802060406_289 - Go To Location 1,1,1,4816,,,,,,,,,28.02903937,,35.17805458,,0.393470694
4817,1,1,F070802060406_291 - Go To Location 1,1,1,4817,,,,,,,,,29.11526337,,35.62563635,,0.398189175
4818,1,1,F070802060406_292 - Go To Location 1,1,1,4818,,,,,,,,,30.0979988,,36.55166323,,0.403227993
4819,1,1,F070802060406_305 - Go To Location 1,1,1,4819,,,,,,,,,29.56646849,,36.1806214,,0.405827198
4820,1,1,F070802060406_306 - Go To Location 1,1,1,4820,,,,,,,,,26.91323307,,35.13263948,,0.395196542
4821,1,1,F070802060501_5 - Go To Location 1,1,1,4821,,,,,,,,,11.38144481,,16.21907387,,0.166035246
4822,1,1,F070802060501_17 - Go To Location 1,2,1,4822,,,,,,,,,13.39090568,,18.14759528,,0.181060544
4823,1,1,F070802060501_20 - Go To Location 1,1,1,4823,,,,,,,,,15.99044472,,16.41634913,,0.154806861
4824,1,1,F070802060501_30 - Go To Location 1,2,1,4824,,,,,,,,,14.29908977,,19.05357666,,0.185867687
4825,1,1,F070802060501_39 - Go To Location 1,2,1,4825,,,,,,,,,20.54076516,,20.00683498,,0.189915949
4826,1,1,F070802060501_40 - Go To Location 1,2,1,4826,,,,,,,,,19.27095964,,18.71328625,,0.176415988
4827,1,1,F070802060501_41 - Go To Location 1,2,1,4827,,,,,,,,,19.63814214,,19.18027587,,0.182011638
4828,1,1,F070802060501_43 - Go To Location 1,2,1,4828,,,,,,,,,20.81096737,,20.66100488,,0.199755159
4829,1,1,F070802060501_44 - Go To Location 1,1,1,4829,,,,,,,,,19.68125177,,26.26844481,,0.269634383
4830,1,1,F070802060501_45 - Go To Location 1,1,1,4830,,,,,,,,,20.5576458,,20.34148159,,0.19592616
4831,1,1,F070802060501_46 - Go To Location 1,1,1,4831,,,,,,,,,20.77844944,,20.6199889,,0.199263645
4832,1,1,F070802060501_49 - Go To Location 1,1,1,4832,,,,,,,,,19.39304824,,25.6530408,,0.25897324
