biomass,price,yield,costs,npv,transport,,,,,,,,,,
prairie,120,9,delivered cost,-60, 16 km ,,,,,,,,,,
prairie,130,3,delivered cost,-572, 16 km ,,,,,,,,,,
prairie,130,6,delivered cost,-277, 16 km ,,,,,,,,,,
prairie,130,9,delivered cost,19, 16 km ,,,,,,,,,,
prairie,140,3,delivered cost,-546, 16 km ,,,,,,,,,,
prairie,140,6,delivered cost,-224, 16 km ,,,,,,,,,,
prairie,140,9,delivered cost,97, 16 km ,,,,,,,,,,
prairie,20,3,delivered cost,-873, 24 km ,,,,,,,,,,
prairie,20,6,delivered cost,-878, 24 km ,,,,,,,,,,
prairie,20,9,delivered cost,-883, 24 km ,,,,,,,,,,
prairie,30,3,delivered cost,-847, 24 km ,,,,,,,,,,
prairie,30,6,delivered cost,-826, 24 km ,,,,,,,,,,
prairie,30,9,delivered cost,-805, 24 km ,,,,,,,,,,
prairie,40,3,delivered cost,-821, 24 km ,,,,,,,,,,
prairie,40,6,delivered cost,-774, 24 km ,,,,,,,,,,
prairie,40,9,delivered cost,-727, 24 km ,,,,,,,,,,
prairie,50,3,delivered cost,-795, 24 km ,,,,,,,,,,
prairie,50,6,delivered cost,-721, 24 km ,,,,,,,,,,
prairie,50,9,delivered cost,-648, 24 km ,,,,,,,,,,
prairie,60,3,delivered cost,-768, 24 km ,,,,,,,,,,
prairie,60,6,delivered cost,-669, 24 km ,,,,,,,,,,
prairie,60,9,delivered cost,-570, 24 km ,,,,,,,,,,
prairie,70,3,delivered cost,-742, 24 km ,,,,,,,,,,
prairie,70,6,delivered cost,-617, 24 km ,,,,,,,,,,
prairie,70,9,delivered cost,-491, 24 km ,,,,,,,,,,
prairie,80,3,delivered cost,-716, 24 km ,,,,,,,,,,
prairie,80,6,delivered cost,-564, 24 km ,,,,,,,,,,
prairie,80,9,delivered cost,-413, 24 km ,,,,,,,,,,
prairie,90,3,delivered cost,-690, 24 km ,,,,,,,,,,
prairie,90,6,delivered cost,-512, 24 km ,,,,,,,,,,
prairie,90,9,delivered cost,-334, 24 km ,,,,,,,,,,
prairie,100,3,delivered cost,-664, 24 km ,,,,,,,,,,
prairie,100,6,delivered cost,-460, 24 km ,,,,,,,,,,
prairie,100,9,delivered cost,-256, 24 km ,,,,,,,,,,
prairie,110,3,delivered cost,-638, 24 km ,,,,,,,,,,
prairie,110,6,delivered cost,-407, 24 km ,,,,,,,,,,
prairie,110,9,delivered cost,-177, 24 km ,,,,,,,,,,
prairie,120,3,delivered cost,-611, 24 km ,,,,,,,,,,
prairie,120,6,delivered cost,-355, 24 km ,,,,,,,,,,
prairie,120,9,delivered cost,-99, 24 km ,,,,,,,,,,
prairie,130,3,delivered cost,-585, 24 km ,,,,,,,,,,
prairie,130,6,delivered cost,-303, 24 km ,,,,,,,,,,
prairie,130,9,delivered cost,-20, 24 km ,,,,,,,,,,
prairie,140,3,delivered cost,-559, 24 km ,,,,,,,,,,
prairie,140,6,delivered cost,-250, 24 km ,,,,,,,,,,
prairie,140,9,delivered cost,58, 24 km ,,,,,,,,,,
prairie,20,3,delivered cost,-917, 32 km ,,,,,,,,,,
prairie,20,6,delivered cost,-967, 32 km ,,,,,,,,,,
prairie,20,9,delivered cost,-1017, 32 km ,,,,,,,,,,
prairie,30,3,delivered cost,-891, 32 km ,,,,,,,,,,
prairie,30,6,delivered cost,-915, 32 km ,,,,,,,,,,
